0x;0y;1x;1y;2x;2y;3x;3y;4x;4y;5x;5y;6x;6y;7x;7y;8x;8y;9x;9y;10x;10y;11x;11y;12x;12y;13x;13y;14x;14y;15x;15y
753;156;779;156;810;156;835;156;864;156;890;156;920;156;944;156;977;156;1000;156;1030;156;1057;156;1087;156;1111;156;1142;156;1167;156
753;200;779;200;810;200;835;200;864;200;890;200;920;200;944;200;977;200;1000;200;1030;200;1057;200;1087;200;1111;200;1142;200;1167;200
753;244;779;244;810;244;835;244;864;244;890;244;920;244;944;244;977;244;1000;244;1030;244;1057;244;1087;244;1111;244;1142;244;1167;244
753;288;779;288;810;288;835;288;864;288;890;288;920;288;944;288;977;288;1000;288;1030;288;1057;288;1087;288;1111;288;1142;288;1167;288
753;332;779;332;810;332;835;332;864;332;890;332;920;332;944;332;977;332;1000;332;1030;332;1057;332;1087;332;1111;332;1142;332;1167;332
753;376;779;376;810;376;835;376;864;376;890;376;920;376;944;376;977;376;1000;376;1030;376;1057;376;1087;376;1111;376;1142;376;1167;376
753;421;779;421;810;421;835;421;864;421;890;421;920;421;944;421;977;421;1000;421;1030;421;1057;421;1087;421;1111;421;1142;421;1167;421
753;465;779;465;810;465;835;465;864;465;890;465;920;465;944;465;977;465;1000;465;1030;465;1057;465;1087;465;1111;465;1142;465;1167;465
753;509;779;509;810;509;835;509;864;509;890;509;920;509;944;509;977;509;1000;509;1030;509;1057;509;1087;509;1111;509;1142;509;1167;509
753;553;779;553;810;553;835;553;864;553;890;553;920;553;944;553;977;553;1000;553;1030;553;1057;553;1087;553;1111;553;1142;553;1167;553
753;597;779;597;810;597;835;597;864;597;890;597;920;597;944;597;977;597;1000;597;1030;597;1057;597;1087;597;1111;597;1142;597;1167;597
753;641;779;641;810;641;835;641;864;641;890;641;920;641;944;641;977;641;1000;641;1030;641;1057;641;1087;641;1111;641;1142;641;1167;641
753;686;779;686;810;686;835;686;864;686;890;686;920;686;944;686;977;686;1000;686;1030;686;1057;686;1087;686;1111;686;1142;686;1167;686
